,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
274,male,group B,some college,standard,completed,88,85,76
292,male,group C,some high school,standard,completed,63,60,57
329,female,group B,some high school,standard,none,41,55,51
714,female,group B,some high school,standard,completed,60,70,74
504,female,group D,master's degree,free/reduced,none,40,59,54
877,male,group C,some high school,standard,none,57,61,54
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
210,male,group D,some high school,free/reduced,completed,80,79,79
639,female,group D,associate's degree,standard,none,76,74,73
734,female,group E,some college,free/reduced,none,53,58,57
750,male,group D,some high school,standard,completed,71,69,68
15,female,group C,some high school,standard,none,69,75,78
312,male,group D,bachelor's degree,standard,completed,67,61,68
467,male,group A,high school,free/reduced,completed,72,67,65
706,male,group D,high school,standard,none,46,34,36
814,female,group C,high school,standard,none,72,80,83
930,male,group C,some college,free/reduced,completed,67,74,70
217,female,group C,high school,free/reduced,none,34,42,39
55,female,group C,high school,free/reduced,none,33,41,43
213,male,group C,associate's degree,free/reduced,completed,60,51,56
327,male,group A,some college,free/reduced,none,28,23,19
110,female,group D,associate's degree,free/reduced,completed,77,89,98
791,female,group D,some college,free/reduced,none,60,66,70
278,female,group C,some high school,free/reduced,none,65,86,80
496,female,group C,some college,standard,none,54,48,52
688,male,group A,high school,free/reduced,none,53,58,44
510,male,group D,some college,standard,none,76,71,73
263,female,group E,high school,standard,none,99,93,90
782,female,group B,high school,free/reduced,completed,76,85,82
586,female,group A,high school,standard,none,55,73,73
841,male,group C,some high school,standard,none,64,58,51
30,female,group D,some college,standard,none,69,74,74
775,female,group B,some high school,free/reduced,none,49,58,55
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
633,female,group C,high school,standard,none,75,88,85
518,female,group D,some high school,standard,completed,66,78,78
163,male,group C,high school,standard,none,52,53,49
576,male,group A,some college,standard,completed,61,51,52
154,male,group D,some high school,standard,none,62,67,61
559,male,group D,some high school,standard,none,73,66,62
475,female,group D,bachelor's degree,standard,completed,71,76,83
220,female,group D,high school,standard,completed,56,68,74
866,male,group C,high school,free/reduced,none,59,53,52
927,female,group D,high school,free/reduced,completed,65,61,71
454,female,group C,associate's degree,free/reduced,none,53,61,62
277,female,group E,high school,standard,completed,59,63,75
308,female,group B,associate's degree,free/reduced,none,53,71,67
481,female,group D,associate's degree,free/reduced,none,52,59,56
326,male,group C,some college,standard,none,61,61,62
509,female,group C,bachelor's degree,standard,none,86,92,87
698,female,group D,associate's degree,standard,completed,57,78,79
838,male,group B,associate's degree,free/reduced,completed,58,57,53
789,female,group C,master's degree,free/reduced,none,52,65,61
767,male,group B,high school,standard,completed,76,62,60
21,female,group B,some college,free/reduced,completed,65,75,70
969,female,group B,bachelor's degree,standard,none,75,84,80
564,male,group B,bachelor's degree,free/reduced,none,48,51,46
402,female,group A,some college,free/reduced,none,49,65,55
319,female,group D,associate's degree,free/reduced,none,56,65,63
934,male,group C,associate's degree,standard,completed,98,87,90
598,female,group D,high school,standard,none,69,77,73
131,male,group C,some high school,free/reduced,completed,53,37,40
282,female,group D,bachelor's degree,free/reduced,none,73,79,84
376,female,group D,some high school,standard,none,80,90,82
742,female,group C,high school,standard,none,81,84,82
918,female,group C,associate's degree,standard,completed,57,77,80
715,female,group B,associate's degree,free/reduced,completed,76,94,87
171,male,group E,some high school,standard,none,94,88,78
702,male,group A,bachelor's degree,standard,completed,87,84,87
751,male,group E,some college,standard,none,68,72,65
349,male,group E,associate's degree,standard,none,87,74,76
786,female,group E,some high school,free/reduced,none,72,79,77
309,female,group D,high school,free/reduced,none,49,57,52
964,male,group D,some college,standard,none,72,57,58
200,female,group C,associate's degree,standard,completed,67,84,86
680,female,group D,high school,standard,none,67,72,74
733,male,group D,some high school,standard,none,55,47,44
708,male,group D,high school,standard,none,89,87,79
339,female,group D,some high school,free/reduced,completed,35,55,60
980,female,group B,high school,free/reduced,none,8,24,23
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
912,female,group C,bachelor's degree,standard,completed,52,61,66
871,female,group C,some college,standard,completed,70,72,76
876,male,group D,some college,standard,none,81,82,84
690,female,group C,associate's degree,standard,none,49,53,53
463,female,group C,some college,free/reduced,none,77,90,91
601,female,group C,high school,standard,none,29,29,30
579,female,group D,master's degree,standard,none,53,61,68
320,female,group C,high school,free/reduced,completed,67,79,84
864,male,group C,associate's degree,standard,none,97,93,91
75,male,group B,associate's degree,free/reduced,none,44,41,38
372,male,group D,some high school,standard,none,74,74,72
85,female,group C,some college,standard,none,73,80,82
259,female,group C,master's degree,free/reduced,completed,65,81,81
696,female,group C,associate's degree,standard,completed,75,82,90
870,male,group B,high school,standard,none,59,58,47
893,male,group D,some high school,standard,completed,88,74,75
447,male,group C,high school,standard,completed,86,81,80
290,male,group C,associate's degree,standard,none,76,70,68
275,male,group C,bachelor's degree,standard,none,83,78,73
184,male,group C,some high school,free/reduced,completed,45,52,49
221,male,group B,associate's degree,standard,none,87,85,73
731,male,group A,some high school,free/reduced,none,55,46,43
907,female,group D,some college,standard,completed,79,84,91
538,male,group E,bachelor's degree,standard,completed,85,66,71
346,male,group B,some college,standard,none,62,61,57
379,male,group A,bachelor's degree,standard,none,66,64,62
730,female,group B,associate's degree,free/reduced,completed,68,77,80
809,male,group B,bachelor's degree,standard,none,59,54,51
394,female,group C,some high school,standard,completed,65,74,77
283,female,group D,some college,free/reduced,completed,70,78,78
65,male,group B,some high school,standard,none,67,64,61
840,female,group D,high school,free/reduced,none,39,52,46
26,male,group B,some college,standard,none,69,54,55
355,female,group B,bachelor's degree,standard,none,61,72,70
323,female,group C,some high school,free/reduced,none,43,53,53
528,female,group D,bachelor's degree,free/reduced,none,29,41,47
168,female,group B,high school,standard,completed,68,83,78
27,female,group C,bachelor's degree,standard,none,67,69,75
570,male,group B,some college,standard,completed,71,75,70
77,male,group A,bachelor's degree,standard,completed,80,78,81
343,male,group D,associate's degree,standard,completed,67,72,67
531,female,group C,some high school,standard,none,47,54,53
909,male,group E,bachelor's degree,standard,completed,70,64,70
307,male,group C,some high school,standard,none,51,52,44
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
114,female,group E,bachelor's degree,standard,completed,99,100,100
953,male,group C,high school,standard,completed,58,52,54
926,male,group E,associate's degree,free/reduced,none,64,56,52
149,male,group E,associate's degree,free/reduced,completed,100,100,93
51,male,group E,associate's degree,free/reduced,completed,77,69,68
982,male,group B,some high school,standard,completed,79,85,86
246,male,group E,associate's degree,standard,none,89,76,74
208,female,group B,some college,free/reduced,none,74,81,76
634,male,group D,some high school,standard,none,84,84,80
363,female,group D,some high school,free/reduced,none,27,34,32
48,female,group D,associate's degree,free/reduced,completed,57,74,76
374,female,group D,bachelor's degree,standard,none,59,70,73
771,male,group D,bachelor's degree,standard,none,75,73,74
776,female,group B,high school,standard,none,66,72,70
884,female,group E,associate's degree,standard,none,51,51,54
356,male,group A,associate's degree,standard,none,63,61,61
532,male,group E,associate's degree,standard,completed,62,61,58
3,male,group A,associate's degree,free/reduced,none,47,57,44
364,male,group C,some college,standard,none,59,60,58
442,female,group A,some high school,free/reduced,none,59,73,69
851,female,group A,high school,standard,none,61,68,63
992,female,group D,associate's degree,free/reduced,none,55,76,76
819,female,group C,some high school,standard,none,77,91,88
673,female,group C,associate's degree,standard,completed,65,84,84
572,female,group C,some college,standard,none,53,62,56
440,female,group C,some college,standard,completed,67,81,79
46,female,group A,associate's degree,standard,completed,55,65,62
330,male,group C,high school,standard,none,71,60,61
925,male,group E,some high school,standard,completed,74,64,60
386,female,group E,bachelor's degree,standard,none,64,73,70
80,female,group B,associate's degree,standard,none,47,49,50
361,male,group B,some high school,standard,completed,85,84,78
193,male,group D,some college,standard,completed,77,62,62
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
205,male,group D,some high school,standard,completed,74,71,78
151,male,group A,bachelor's degree,standard,none,77,67,68
344,male,group D,some college,standard,none,79,73,67
122,female,group C,some college,standard,completed,88,93,93
322,female,group C,some college,standard,none,71,81,80
875,male,group C,some college,free/reduced,none,80,64,66
916,male,group E,bachelor's degree,standard,completed,100,100,100
519,female,group B,high school,free/reduced,completed,67,78,79
622,male,group C,high school,free/reduced,completed,58,51,52
861,female,group E,master's degree,free/reduced,none,81,86,87
849,male,group D,associate's degree,standard,none,80,75,69
802,female,group E,associate's degree,standard,none,87,94,95
886,female,group E,associate's degree,standard,completed,93,100,95
932,male,group D,associate's degree,free/reduced,completed,61,71,73
547,male,group C,high school,standard,completed,72,67,64
874,female,group C,bachelor's degree,free/reduced,none,43,62,61
173,female,group C,associate's degree,standard,none,63,67,70
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
69,female,group C,associate's degree,standard,none,39,64,57
985,male,group A,high school,standard,none,57,51,54
577,female,group B,high school,standard,none,81,91,89
451,female,group E,some college,standard,none,100,92,97
436,male,group D,associate's degree,standard,none,75,68,64
136,male,group B,some high school,standard,completed,51,54,41
32,female,group E,master's degree,free/reduced,none,56,72,65
95,male,group C,associate's degree,free/reduced,completed,78,81,82
669,male,group D,associate's degree,standard,completed,81,72,77
164,female,group E,master's degree,standard,none,81,92,91
405,female,group C,some high school,standard,none,63,73,68
796,male,group D,high school,standard,none,70,70,70
195,male,group D,associate's degree,standard,none,61,55,52
314,female,group C,bachelor's degree,standard,completed,59,64,75
232,female,group B,bachelor's degree,standard,none,67,86,83
353,female,group C,associate's degree,standard,none,46,58,57
471,female,group C,high school,standard,none,63,69,74
785,female,group B,some high school,standard,completed,32,51,44
207,male,group E,high school,standard,completed,81,80,76
179,female,group D,some high school,standard,completed,97,100,100
590,male,group C,some college,free/reduced,none,58,57,54
972,female,group A,high school,free/reduced,completed,53,50,60
958,female,group D,high school,standard,none,45,63,59
45,male,group B,associate's degree,standard,none,65,54,57
87,female,group D,associate's degree,standard,none,71,71,74
268,female,group D,associate's degree,standard,completed,88,92,95
142,female,group E,some college,free/reduced,completed,42,55,54
585,female,group C,associate's degree,standard,none,65,76,76
431,female,group C,high school,standard,none,61,72,70
575,male,group A,associate's degree,free/reduced,completed,40,55,53
397,female,group C,associate's degree,standard,none,85,89,95
255,female,group E,some college,standard,none,62,73,70
772,female,group B,some high school,free/reduced,completed,52,67,72
264,male,group D,high school,standard,none,76,73,68
489,male,group A,associate's degree,free/reduced,completed,79,82,82
760,female,group C,high school,free/reduced,none,53,72,64
400,female,group C,some high school,standard,completed,59,54,67
536,male,group C,associate's degree,standard,completed,51,60,58
939,male,group D,some high school,standard,completed,77,68,69
137,male,group E,high school,standard,none,70,55,56
539,male,group A,associate's degree,standard,completed,97,92,86
741,female,group A,associate's degree,free/reduced,none,37,57,56
42,female,group B,associate's degree,standard,none,53,58,65
897,female,group B,some high school,free/reduced,completed,63,78,79
989,female,group D,some college,free/reduced,completed,67,86,83
797,female,group E,associate's degree,free/reduced,none,70,84,81
990,male,group E,high school,free/reduced,completed,86,81,75
506,male,group A,high school,standard,none,68,70,66
145,female,group C,some college,free/reduced,none,22,39,33
855,female,group B,bachelor's degree,standard,none,97,97,96
415,male,group E,high school,standard,none,84,73,69
271,male,group C,some college,standard,none,58,49,42
303,male,group B,associate's degree,standard,none,80,76,64
852,female,group E,some college,standard,none,87,85,93
88,female,group A,some college,standard,none,58,70,67
599,female,group D,some high school,standard,none,65,82,81
957,female,group D,master's degree,standard,none,92,100,100
302,female,group C,associate's degree,standard,completed,67,84,81
584,female,group D,some college,standard,none,69,77,77
790,female,group B,high school,standard,none,48,62,60
253,male,group D,master's degree,standard,none,80,80,72
631,male,group B,high school,standard,none,79,60,65
635,male,group A,high school,standard,none,71,74,64
140,female,group D,some high school,standard,none,76,72,71
81,male,group B,high school,free/reduced,none,49,45,45
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60
895,female,group E,some high school,free/reduced,none,32,34,38
468,female,group A,high school,free/reduced,completed,77,88,85
295,male,group B,associate's degree,free/reduced,none,67,62,60
613,female,group C,associate's degree,standard,none,65,77,74
366,male,group C,high school,standard,completed,69,58,53
44,female,group E,associate's degree,free/reduced,none,50,56,54
321,female,group E,high school,standard,none,75,86,79
304,female,group C,associate's degree,standard,completed,74,75,83
383,female,group E,some high school,free/reduced,none,38,49,45
952,female,group E,some high school,free/reduced,none,74,74,72
7,male,group B,some college,free/reduced,none,40,43,39
915,female,group E,some college,standard,none,68,70,66
146,male,group B,some high school,standard,none,88,84,75
234,male,group C,bachelor's degree,standard,completed,83,82,84
494,female,group B,high school,standard,none,54,64,68
894,female,group E,associate's degree,standard,none,59,62,69
68,male,group B,associate's degree,free/reduced,none,61,58,56
977,male,group C,associate's degree,standard,none,62,65,58
254,male,group D,high school,standard,none,54,52,52
961,female,group D,some high school,free/reduced,none,48,54,53
375,male,group E,associate's degree,free/reduced,none,46,43,41
298,male,group C,high school,free/reduced,completed,40,46,50
938,male,group D,some college,standard,completed,85,81,85
527,female,group C,high school,free/reduced,none,36,53,43
605,male,group C,some high school,standard,none,75,72,62
128,male,group D,master's degree,standard,none,82,82,74
29,female,group D,master's degree,standard,none,62,70,75
86,female,group C,some college,free/reduced,none,76,83,88
820,female,group A,some high school,standard,completed,85,90,92
921,female,group C,high school,free/reduced,none,35,53,46
567,female,group D,master's degree,free/reduced,completed,61,71,78
212,female,group C,high school,free/reduced,none,42,62,60
429,male,group C,some high school,free/reduced,none,68,63,54
96,male,group B,some high school,standard,completed,65,66,62
722,female,group B,some high school,free/reduced,completed,74,90,88
872,male,group B,associate's degree,standard,completed,82,84,78
845,male,group E,master's degree,standard,none,90,85,84
175,female,group C,master's degree,standard,completed,81,91,87
157,male,group B,some college,free/reduced,none,60,60,60
450,female,group C,some college,free/reduced,completed,64,85,85
675,female,group B,some college,standard,completed,50,64,66
565,male,group B,associate's degree,standard,none,48,43,45
111,male,group C,high school,standard,none,62,55,49
39,male,group B,associate's degree,free/reduced,none,57,56,57
713,male,group D,master's degree,standard,none,81,81,84
544,female,group D,master's degree,standard,none,64,63,66
294,male,group D,high school,free/reduced,completed,78,77,80
911,female,group A,some college,standard,none,69,84,82
331,male,group C,associate's degree,standard,none,47,37,35
621,male,group B,bachelor's degree,free/reduced,none,62,63,56
491,female,group C,associate's degree,standard,none,64,64,70
724,male,group B,some college,standard,none,47,43,41
448,male,group B,high school,standard,none,47,46,42
863,female,group C,some college,standard,completed,71,71,80
757,male,group E,bachelor's degree,free/reduced,completed,70,68,72
967,male,group C,some college,standard,none,63,63,60
101,male,group D,bachelor's degree,standard,completed,68,74,74
649,female,group D,some college,standard,completed,69,79,81
202,male,group C,associate's degree,standard,none,69,77,69
758,female,group D,some college,free/reduced,completed,52,59,65
227,male,group D,high school,standard,none,57,50,54
345,female,group C,high school,standard,none,72,80,75
988,female,group A,some high school,free/reduced,none,44,45,45
712,female,group D,some college,standard,none,98,100,99
248,female,group B,high school,standard,none,65,64,62
129,female,group A,bachelor's degree,standard,none,51,49,51
520,male,group D,some college,standard,none,71,49,52
937,female,group E,high school,free/reduced,none,57,58,57
581,female,group E,some high school,standard,none,77,79,80
537,female,group D,high school,standard,none,51,66,62
488,male,group B,some high school,standard,completed,64,53,57
382,male,group C,master's degree,free/reduced,none,79,81,71
437,male,group D,associate's degree,free/reduced,none,75,66,73
842,female,group B,high school,free/reduced,completed,23,44,36
717,female,group C,associate's degree,standard,completed,96,96,99
552,female,group B,associate's degree,standard,none,40,48,50
238,male,group B,some college,standard,none,54,52,51
768,female,group D,some high school,standard,none,68,71,75
99,female,group D,bachelor's degree,standard,none,65,67,62
799,female,group C,associate's degree,standard,none,52,55,57
950,male,group E,high school,standard,none,94,73,71
727,male,group E,some high school,standard,completed,68,51,57
655,female,group B,some college,standard,none,62,67,67
805,male,group A,some college,free/reduced,none,75,81,74
244,male,group D,some high school,standard,none,75,74,69
924,male,group D,high school,free/reduced,none,74,70,69
358,male,group D,some college,free/reduced,none,59,62,61
709,female,group D,associate's degree,free/reduced,completed,42,61,58
311,male,group B,bachelor's degree,standard,none,66,60,57
951,female,group D,some college,standard,completed,75,77,83
54,female,group C,some high school,free/reduced,completed,71,84,87
792,male,group D,high school,free/reduced,none,66,74,69
425,female,group C,some college,free/reduced,none,62,67,62
818,female,group B,high school,free/reduced,none,60,72,68
583,female,group D,associate's degree,standard,completed,73,75,80
432,male,group C,high school,standard,none,61,56,55
265,male,group D,some high school,free/reduced,none,59,42,41
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
233,male,group E,some high school,standard,none,92,87,78
115,male,group C,high school,standard,none,84,77,74
533,female,group E,associate's degree,standard,completed,79,88,94
653,female,group A,associate's degree,standard,completed,65,70,74
236,male,group D,bachelor's degree,free/reduced,none,63,66,67
657,male,group D,some high school,standard,none,69,66,61
795,female,group E,associate's degree,free/reduced,completed,57,68,73
109,female,group B,some high school,standard,none,70,64,72
763,female,group B,high school,standard,none,62,62,63
848,female,group C,high school,standard,none,59,72,68
664,male,group D,associate's degree,standard,none,80,63,63
578,female,group B,some college,free/reduced,completed,48,56,58
121,male,group B,associate's degree,standard,completed,91,89,92
716,male,group C,associate's degree,standard,completed,73,78,72
753,female,group C,some high school,standard,completed,77,90,85
683,female,group C,some high school,free/reduced,completed,29,40,44
834,male,group B,some college,standard,none,58,50,45
245,male,group C,associate's degree,standard,none,85,76,71
963,female,group C,some high school,free/reduced,completed,65,76,75
411,male,group E,some college,standard,completed,84,83,78
800,male,group C,some high school,standard,completed,67,73,68
20,male,group D,high school,standard,none,66,69,63
116,female,group B,bachelor's degree,free/reduced,none,75,85,82
305,male,group A,some college,standard,none,69,67,69
231,male,group C,associate's degree,standard,none,46,43,42
513,female,group B,some high school,standard,completed,54,61,62
997,female,group C,high school,free/reduced,completed,59,71,65
301,male,group D,some high school,free/reduced,none,56,54,52
359,female,group D,some college,standard,none,80,90,89
749,male,group B,some college,standard,completed,87,84,86
554,male,group E,associate's degree,standard,none,53,45,40
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
975,female,group C,some college,standard,completed,64,82,77
502,male,group C,some college,free/reduced,none,63,61,54
239,male,group C,associate's degree,standard,none,84,80,80
108,female,group B,associate's degree,free/reduced,none,52,76,70
858,male,group B,high school,standard,completed,52,49,46
723,male,group C,high school,standard,none,50,48,42
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
38,female,group D,associate's degree,free/reduced,completed,75,90,88
836,male,group E,high school,standard,none,73,64,57
198,female,group B,some college,free/reduced,none,45,53,55
119,female,group C,some college,standard,none,55,69,65
459,male,group B,high school,standard,completed,72,65,68
774,male,group B,some college,standard,none,66,65,60
545,male,group E,some high school,free/reduced,completed,78,83,80
906,male,group B,high school,standard,none,57,48,51
178,female,group B,master's degree,free/reduced,completed,52,70,62
959,male,group C,high school,standard,none,75,81,71
479,male,group E,associate's degree,standard,none,76,71,67
556,female,group C,associate's degree,standard,completed,55,72,79
473,female,group D,some high school,standard,none,59,67,61
663,female,group C,high school,standard,none,65,69,67
50,male,group E,some college,standard,none,53,55,48
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
514,female,group B,master's degree,free/reduced,completed,77,97,94
455,male,group C,bachelor's degree,free/reduced,none,37,56,47
228,male,group A,some high school,free/reduced,none,68,72,64
835,female,group C,high school,standard,completed,60,64,74
879,female,group D,associate's degree,standard,none,64,76,74
766,female,group C,high school,standard,completed,58,75,77
765,female,group B,high school,standard,none,74,72,72
609,female,group B,associate's degree,standard,none,58,63,65
153,male,group D,bachelor's degree,standard,none,54,49,47
403,female,group D,high school,standard,completed,88,99,100
561,female,group C,some college,standard,none,63,74,74
391,female,group D,some college,standard,none,77,68,77
43,male,group B,some college,free/reduced,completed,59,65,66
477,male,group D,associate's degree,standard,none,80,68,72
191,male,group D,some college,standard,completed,76,83,79
25,male,group A,master's degree,free/reduced,none,73,74,72
813,male,group E,some high school,standard,completed,87,84,76
660,male,group C,some college,free/reduced,none,74,77,73
387,female,group C,associate's degree,free/reduced,none,57,78,67
983,female,group A,some college,standard,completed,78,87,91
133,female,group C,some college,standard,completed,75,81,84
409,male,group D,associate's degree,standard,completed,87,84,85
435,male,group C,some college,free/reduced,completed,50,48,53
777,female,group C,some college,free/reduced,none,35,44,43
999,female,group D,some college,free/reduced,none,77,86,86
4,male,group C,some college,standard,none,76,78,75
947,female,group D,some college,free/reduced,none,49,58,60
637,female,group D,some high school,standard,completed,80,92,88
368,female,group A,some high school,free/reduced,none,44,64,58
141,female,group C,some college,free/reduced,none,59,62,64
148,female,group D,bachelor's degree,standard,completed,68,75,81
56,female,group E,associate's degree,standard,completed,82,85,86
900,male,group D,master's degree,standard,none,85,84,89
291,male,group D,some high school,standard,none,86,73,70
83,male,group E,associate's degree,standard,none,72,64,63
962,female,group E,associate's degree,standard,none,100,100,100
444,male,group A,some high school,free/reduced,none,79,82,73
973,female,group D,some college,free/reduced,none,49,65,61
183,female,group D,associate's degree,standard,none,65,69,70
337,male,group C,associate's degree,standard,none,49,51,43
665,female,group C,some high school,free/reduced,completed,50,60,60
827,female,group C,some high school,standard,none,65,69,76
920,male,group D,high school,free/reduced,none,69,70,67
135,male,group C,bachelor's degree,standard,none,58,55,48
36,female,group D,associate's degree,standard,none,74,81,83
458,female,group E,bachelor's degree,standard,none,100,100,100
762,male,group D,some high school,standard,completed,78,81,86
118,female,group D,some high school,standard,none,51,63,61
499,male,group E,some college,standard,none,76,71,72
325,female,group C,some college,standard,none,82,90,94
237,female,group D,some high school,standard,completed,64,60,74
262,female,group C,some high school,free/reduced,none,44,50,51
423,female,group A,some high school,standard,completed,59,85,80
929,female,group C,some high school,free/reduced,none,48,56,51
250,male,group A,some high school,standard,completed,47,49,49
10,male,group C,associate's degree,standard,none,58,54,52
476,male,group E,bachelor's degree,standard,completed,76,62,66
5,female,group B,associate's degree,standard,none,71,83,78
147,male,group C,associate's degree,free/reduced,none,73,68,66
485,male,group C,high school,standard,none,70,74,71
843,male,group B,some college,free/reduced,completed,74,77,76
172,female,group D,some college,standard,none,79,86,81
13,male,group A,some college,standard,completed,78,72,70
557,male,group C,master's degree,free/reduced,none,61,67,66
139,male,group D,some college,standard,completed,71,61,69
166,male,group C,high school,free/reduced,completed,53,51,51
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
90,female,group C,bachelor's degree,standard,none,65,72,74
350,female,group B,bachelor's degree,standard,none,52,65,69
398,male,group B,some high school,standard,none,74,63,57
252,female,group B,some high school,standard,completed,60,70,70
102,female,group D,associate's degree,standard,none,85,91,89
445,female,group C,some high school,standard,completed,67,74,77
543,female,group D,associate's degree,standard,none,82,95,89
521,female,group C,associate's degree,standard,none,91,86,84
416,male,group C,bachelor's degree,standard,completed,71,74,68
371,female,group C,some college,free/reduced,completed,45,73,70
684,male,group B,some college,standard,completed,62,66,68
256,female,group C,associate's degree,free/reduced,none,64,73,68
525,male,group E,some college,standard,none,68,60,59
691,female,group E,associate's degree,free/reduced,none,73,76,78
650,male,group C,some high school,free/reduced,completed,51,56,53
441,female,group D,high school,standard,none,78,81,80
904,female,group D,some high school,free/reduced,none,67,84,84
92,male,group C,high school,standard,none,71,79,71
285,male,group B,associate's degree,standard,completed,81,82,82
511,male,group A,some high school,standard,none,64,50,43
803,female,group B,some college,standard,none,82,85,87
641,female,group D,associate's degree,free/reduced,completed,74,88,90
59,female,group C,some high school,free/reduced,none,0,17,10
928,male,group E,associate's degree,free/reduced,completed,46,43,44
486,male,group D,some college,free/reduced,none,61,47,56
106,female,group D,master's degree,standard,none,87,100,100
994,male,group A,high school,standard,none,63,63,62
225,female,group E,master's degree,free/reduced,none,45,56,54
560,female,group D,some college,standard,completed,74,75,79
332,male,group E,associate's degree,standard,completed,62,56,53
258,female,group B,some college,standard,none,70,75,78
452,female,group C,associate's degree,free/reduced,none,65,77,74
770,male,group B,high school,standard,none,52,48,49
74,male,group C,some high school,standard,none,49,49,41
189,female,group C,bachelor's degree,standard,none,77,88,87
608,female,group E,some college,standard,none,61,64,62
857,female,group C,bachelor's degree,standard,none,65,79,81
541,male,group D,associate's degree,free/reduced,completed,79,82,80
412,male,group D,associate's degree,standard,none,71,66,60
752,male,group C,master's degree,free/reduced,completed,79,77,75
